,t,T,s,i,f,L,o,c,h,l,v,n,x,q,V,Q,B
0,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671822,3.91300000,3.91890000,3.91890000,3.91000000,887.00000000,28,False,3471.98210000,124.00000000,485.89040000,0
1,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671825,3.91300000,3.91940000,3.91940000,3.91000000,911.00000000,31,False,3566.04360000,148.00000000,579.95190000,0
2,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671826,3.91300000,3.91930000,3.91940000,3.91000000,914.00000000,32,False,3577.80150000,151.00000000,591.70980000,0
3,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671829,3.91300000,3.91520000,3.91940000,3.91000000,979.00000000,35,False,3832.27780000,151.00000000,591.70980000,0
4,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671830,3.91300000,3.91520000,3.91940000,3.91000000,982.00000000,36,False,3844.02340000,151.00000000,591.70980000,0
5,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671834,3.91300000,3.91960000,3.91960000,3.91000000,1195.00000000,40,False,4678.89390000,364.00000000,1426.58030000,0
6,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671835,3.91300000,3.91960000,3.91960000,3.91000000,1301.00000000,41,False,5094.37150000,470.00000000,1842.05790000,0
7,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671836,3.91300000,3.91960000,3.91960000,3.91000000,1341.00000000,42,False,5251.15550000,510.00000000,1998.84190000,0
8,1638158160000,1638158219999,COCOSUSDT,1m,23671795,23671836,3.91300000,3.91960000,3.91960000,3.91000000,1341.00000000,42,True,5251.15550000,510.00000000,1998.84190000,0
